gene,protein,reaction,model
G_ABAYE_RS14760,P_ABAYE_RS14760,R_TARTRDH2,iCN718
G_ABAYE_RS14760,P_ABAYE_RS14760,R_MALDDH,iCN718
G_ABAYE_RS15900,P_ABAYE_RS15900,R_HPYRI,iCN718
G_ABAYE_RS18815,P_ABAYE_RS18815,R_MCITS,iCN718
G_ABAYE_RS18820,P_ABAYE_RS18820,R_MCITL2,iCN718
G_ABAYE_RS09025,P_ABAYE_RS09025,R_ACLDC,iCN718
G_ABAYE_RS01360,P_ABAYE_RS01360,R_PGAMT,iCN718
G_ABAYE_RS00995,P_ABAYE_RS00995,R_G1PACT,iCN718
G_ABAYE_RS06820,P_ABAYE_RS06820,R_GLUPRT,iCN718
G_ABAYE_RS07670,P_ABAYE_RS07670+ABAYE_RS07675,R_ETHAAL,iCN718
G_ABAYE_RS07675,P_ABAYE_RS07670+ABAYE_RS07675,R_ETHAAL,iCN718
G_ABAYE_RS09245,P_ABAYE_RS09245,R_PRPPS,iCN718
G_ABAYE_RS14860,P_ABAYE_RS14860,R_PRPPS,iCN718
G_ABAYE_RS02945,P_ABAYE_RS02945,R_PPCOAC,iCN718
G_ABAYE_RS04165,P_ABAYE_RS04165,R_DMATT,iCN718
G_ABAYE_RS01570,P_ABAYE_RS01570,R_SSALx,iCN718
G_ABAYE_RS11770,P_ABAYE_RS11770,R_SSALx,iCN718
G_ABAYE_RS14730,P_ABAYE_RS14730,R_SSALx,iCN718
G_ABAYE_RS02420,P_ABAYE_RS02420,R_DXPS,iCN718
G_ABAYE_RS07455,P_ABAYE_RS07455,R_HACD1,iCN718
G_ABAYE_RS12385,P_ABAYE_RS12385,R_HACD1,iCN718
G_ABAYE_RS17245,P_ABAYE_RS17245,R_HACD1,iCN718
G_ABAYE_RS07250,P_ABAYE_RS07250,R_PPRGL,iCN718
G_ABAYE_RS01570,P_ABAYE_RS01570,R_SSALy,iCN718
G_ABAYE_RS11770,P_ABAYE_RS11770,R_SSALy,iCN718
G_ABAYE_RS14730,P_ABAYE_RS14730,R_SSALy,iCN718
G_ABAYE_RS08245,P_ABAYE_RS08245,R_DXPRIi,iCN718
G_ABAYE_RS01565,P_ABAYE_RS01565,R_ABTA,iCN718
G_ABAYE_RS05065,P_ABAYE_RS05065,R_PRFGS,iCN718
G_ABAYE_RS04955,P_ABAYE_RS04955,R_GARFT,iCN718
G_ABAYE_RS11070,P_ABAYE_RS11070,R_GARFT,iCN718
G_ABAYE_RS04960,P_ABAYE_RS04960,R_PRFGCL,iCN718
G_ABAYE_RS08685,P_ABAYE_RS08685,R_MEPCT,iCN718
G_ABAYE_RS00840,P_ABAYE_RS00840,R_PRASCSi,iCN718
G_ABAYE_RS09790,P_ABAYE_RS09790,R_BDH,iCN718
G_ABAYE_RS08190,P_ABAYE_RS08190,R_MECDPS,iCN718
G_ABAYE_RS16240,P_ABAYE_RS16240,R_MECDPDH2,iCN718
G_ABAYE_RS11660,P_ABAYE_RS11660,R_HBCO_nadp,iCN718
G_ABAYE_RS11940,P_ABAYE_RS11940,R_HBCO_nadp,iCN718
G_ABAYE_RS04165,P_ABAYE_RS04165,R_GRTT,iCN718
G_ABAYE_RS04775,P_ABAYE_RS04775,R_GLYCK,iCN718
G_ABAYE_RS04620,P_ABAYE_RS04620,R_GLYK,iCN718
G_ABAYE_RS09960,P_ABAYE_RS09960,R_BTDD_RR,iCN718
G_ABAYE_RS19205,P_ABAYE_RS19205+ABAYE_RS19210,R_AIRC1,iCN718
G_ABAYE_RS19210,P_ABAYE_RS19205+ABAYE_RS19210,R_AIRC1,iCN718
G_ABAYE_RS05650,P_ABAYE_RS05650,R_ADSL1r,iCN718
G_ABAYE_RS06545,P_ABAYE_RS06545,R_G3PD2,iCN718
G_ABAYE_RS07255,P_ABAYE_RS07255,R_IMPC,iCN718
G_ABAYE_RS12990,P_ABAYE_RS12990,R_ADSS,iCN718
G_ABAYE_RS01355,P_ABAYE_RS01355,R_IMPD,iCN718
G_ABAYE_RS04625,P_ABAYE_RS04625,R_G3PD5,iCN718
G_ABAYE_RS09965,P_ABAYE_RS09965,R_ACTD,iCN718
G_ABAYE_RS09965,P_ABAYE_RS09965,R_ACTDa,iCN718
G_ABAYE_RS02090,P_ABAYE_RS02090,R_GK2,iCN718
G_ABAYE_RS04625,P_ABAYE_RS04625,R_G3PD6,iCN718
G_ABAYE_RS07665,P_ABAYE_RS07665,R_GMPS2,iCN718
G_ABAYE_RS18570,P_ABAYE_RS18570,R_GMPS2,iCN718
G_ABAYE_RS04625,P_ABAYE_RS04625,R_G3PD4,iCN718
G_ABAYE_RS02090,P_ABAYE_RS02090,R_DGK1,iCN718
G_ABAYE_RS13035,P_ABAYE_RS13035,R_ADA,iCN718
G_ABAYE_RS15440,P_ABAYE_RS15440,R_ADA,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK4,iCN718
G_ABAYE_RS09810,P_ABAYE_RS09810+ABAYE_RS09815,R_OCOAT1,iCN718
G_ABAYE_RS09815,P_ABAYE_RS09810+ABAYE_RS09815,R_OCOAT1,iCN718
G_ABAYE_RS04660,P_ABAYE_RS04660,R_DAGK160,iCN718
G_ABAYE_RS06910,P_ABAYE_RS06910,R_MMSAD3,iCN718
G_ABAYE_RS18710,P_ABAYE_RS18710,R_MMSAD3,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD11,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD11,iCN718
G_ABAYE_RS10415,P_ABAYE_RS10415,R_BPNT,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD7,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD7,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK8,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK1,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK5,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK9,iCN718
G_ABAYE_RS03565,P_ABAYE_RS03565,R_GPDDA2,iCN718
G_ABAYE_RS04670,P_ABAYE_RS04670,R_GPDDA2,iCN718
G_ABAYE_RS03565,P_ABAYE_RS03565,R_GPDDA1,iCN718
G_ABAYE_RS04670,P_ABAYE_RS04670,R_GPDDA1,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK10,iCN718
G_ABAYE_RS08240,P_ABAYE_RS08240,R_DASYN160,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK2,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK3,iCN718
G_ABAYE_RS19265,P_ABAYE_RS19265,R_HXPRT,iCN718
G_ABAYE_RS16260,P_ABAYE_RS16260,R_NDPK6,iCN718
G_ABAYE_RS02880,P_ABAYE_RS02880,R_PSSA160,iCN718
G_ABAYE_RS15855,P_ABAYE_RS15855,R_NTPP8,iCN718
G_ABAYE_RS15285,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR4,iCN718
G_ABAYE_RS15295,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR4,iCN718
G_ABAYE_RS01060,P_ABAYE_RS01060,R_PSD160,iCN718
G_ABAYE_RS01925,P_ABAYE_RS01925,R_GLUTRS,iCN718
G_ABAYE_RS19265,P_ABAYE_RS19265,R_XPPT,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD2,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD2,iCN718
G_ABAYE_RS17215,P_ABAYE_RS17215,R_PGSA160,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD4,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD4,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD3,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD3,iCN718
G_ABAYE_RS19265,P_ABAYE_RS19265,R_ADPT,iCN718
G_ABAYE_RS05060,P_ABAYE_RS05060,R_NTPTP1,iCN718
G_ABAYE_RS15865,P_ABAYE_RS15865,R_GTPDPK,iCN718
G_ABAYE_RS02080,P_ABAYE_RS02080,R_PPGPPDP,iCN718
G_ABAYE_RS13825,P_ABAYE_RS13825,R_DADK,iCN718
G_ABAYE_RS05690,P_ABAYE_RS05690,R_NTD5,iCN718
G_ABAYE_RS09695,P_ABAYE_RS09695,R_NTD5,iCN718
G_ABAYE_RS05175,P_ABAYE_RS05175,R_URIDK2r,iCN718
G_ABAYE_RS10535,P_ABAYE_RS10535,R_CYTK1,iCN718
G_ABAYE_RS13825,P_ABAYE_RS13825,R_ADK1,iCN718
G_ABAYE_RS17510,P_ABAYE_RS17510,R_ADPRDP,iCN718
G_ABAYE_RS03000,P_ABAYE_RS03000,R_AP4AH,iCN718
G_ABAYE_RS01170,P_ABAYE_RS01170,R_UGLYCH,iCN718
G_ABAYE_RS15080,P_ABAYE_RS15080,R_DCTPD,iCN718
G_ABAYE_RS10535,P_ABAYE_RS10535,R_CYTK2,iCN718
G_ABAYE_RS15190,P_ABAYE_RS15190,R_UPPRT,iCN718
G_ABAYE_RS14635,P_ABAYE_RS14635,R_TRDR,iCN718
G_ABAYE_RS18170,P_ABAYE_RS18170,R_TRDR,iCN718
G_ABAYE_RS15285,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR2,iCN718
G_ABAYE_RS15295,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR2,iCN718
G_ABAYE_RS15285,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR3,iCN718
G_ABAYE_RS15295,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR3,iCN718
G_ABAYE_RS15285,P_ABAYE_RS15285+ABAYE_RS15295,R_RNDR1,iCN718
